                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6191,                 1.6013,                 1.6458,                0.67158,                0.58317,                0.63179,                0.54066,                 1.3602,                  2.069,                 1.6324,             0.00021778,             0.00021778,             0.00021778
                     35,                  1.622,                 1.6925,                 1.6766,                0.69065,                0.55197,                0.67823,                0.58051,                 1.3917,                 1.9926,                  1.623,             0.00021731,             0.00021731,             0.00021731
                     36,                 1.5982,                 1.5815,                 1.6473,                0.54822,                0.64189,                0.65048,                0.54827,                 1.3038,                 1.9278,                 1.6246,             0.00021685,             0.00021685,             0.00021685
                     37,                 1.6364,                 1.4946,                 1.6616,                0.65603,                0.61205,                0.64355,                0.54052,                 1.2771,                 2.0461,                 1.6201,             0.00021639,             0.00021639,             0.00021639
                     38,                 1.6364,                 1.5391,                 1.6392,                0.67968,                0.60966,                0.61381,                0.51423,                 1.3868,                 2.3184,                 1.6335,             0.00021593,             0.00021593,             0.00021593
                     39,                 1.5763,                 1.5923,                  1.654,                0.64814,                0.67348,                0.68379,                0.57172,                 1.4374,                 1.8769,                 1.6334,             0.00021547,             0.00021547,             0.00021547
                     40,                  1.547,                 1.4669,                 1.6575,                0.78702,                0.59844,                0.68154,                0.57296,                 1.3685,                 2.0343,                 1.6239,             0.00021501,             0.00021501,             0.00021501
                     41,                 1.5665,                 1.3842,                 1.6651,                0.66634,                0.63598,                0.69747,                0.58008,                 1.4156,                 1.8626,                 1.6314,             0.00021455,             0.00021455,             0.00021455
                     42,                 1.5138,                 1.4158,                 1.6706,                0.55889,                0.67632,                 0.6722,                0.57483,                 1.2947,                 1.7035,                 1.6123,             0.00021409,             0.00021409,             0.00021409
                     43,                 1.4701,                 1.3948,                 1.6508,                0.64208,                0.60123,                0.68596,                0.58298,                 1.3019,                 1.8461,                 1.6208,             0.00021362,             0.00021362,             0.00021362
                     44,                 1.5293,                 1.3514,                 1.6455,                0.74626,                0.62267,                0.67721,                0.57751,                 1.3174,                 1.8205,                 1.6346,             0.00021316,             0.00021316,             0.00021316
                     45,                 1.5223,                 1.3965,                 1.6712,                0.65675,                0.67559,                0.69904,                0.59513,                  1.332,                 1.8094,                 1.6259,              0.0002127,              0.0002127,              0.0002127
                     46,                 1.5389,                 1.3803,                 1.6556,                  0.608,                0.63442,                0.69529,                0.59293,                 1.3347,                 1.9219,                 1.6298,             0.00021224,             0.00021224,             0.00021224
                     47,                 1.6365,                  1.418,                 1.6545,                0.65672,                0.67601,                0.67873,                 0.5672,                 1.3734,                 1.9747,                  1.618,             0.00021178,             0.00021178,             0.00021178
                     48,                 1.5154,                 1.3142,                 1.6566,                0.75954,                0.62822,                0.71125,                0.62374,                 1.2639,                  1.786,                  1.613,             0.00021132,             0.00021132,             0.00021132
                     49,                 1.5543,                 1.3377,                 1.6357,                0.60482,                0.64501,                0.64726,                0.55515,                 1.3167,                  2.084,                 1.6246,             0.00021086,             0.00021086,             0.00021086
                     50,                   1.48,                 1.3139,                 1.6282,                0.65858,                0.57579,                0.69195,                0.59967,                 1.3263,                 1.9883,                 1.6158,             0.00021039,             0.00021039,             0.00021039
                     51,                 1.5221,                 1.2643,                 1.6454,                0.67697,                0.69072,                0.67345,                0.58375,                 1.2499,                 1.7756,                 1.6104,             0.00020993,             0.00020993,             0.00020993
                     52,                 1.5306,                 1.2597,                 1.6299,                0.65687,                0.63991,                0.67208,                0.57769,                 1.2788,                 1.9026,                 1.6161,             0.00020947,             0.00020947,             0.00020947
                     53,                 1.5066,                 1.2457,                 1.6501,                0.64335,                0.61471,                0.67798,                0.57329,                  1.352,                 2.0056,                 1.6252,             0.00020901,             0.00020901,             0.00020901
                     54,                 1.4979,                 1.2833,                 1.6474,                 0.6593,                 0.5796,                0.65356,                0.55016,                 1.3896,                   2.02,                 1.6272,             0.00020855,             0.00020855,             0.00020855
                     55,                 1.4899,                 1.1927,                 1.6235,                0.64805,                0.68581,                0.72819,                0.63005,                  1.293,                  1.855,                 1.6149,             0.00020809,             0.00020809,             0.00020809
                     56,                 1.4741,                 1.1438,                 1.6251,                 0.7452,                0.63096,                0.74434,                0.63655,                 1.3636,                 1.7556,                 1.6193,             0.00020763,             0.00020763,             0.00020763
                     57,                 1.4636,                 1.1631,                 1.6534,                0.61256,                 0.7021,                0.72242,                0.62445,                 1.3506,                 1.8566,                 1.6222,             0.00020716,             0.00020716,             0.00020716
                     58,                 1.4658,                 1.1903,                 1.6316,                0.67089,                0.65585,                0.71278,                 0.6152,                 1.3016,                  1.811,                 1.6231,              0.0002067,              0.0002067,              0.0002067
                     59,                 1.5108,                 1.1849,                 1.6269,                0.66699,                0.66888,                0.69287,                0.59876,                 1.2834,                 1.7835,                 1.6115,             0.00020624,             0.00020624,             0.00020624
                     60,                 1.4886,                 1.1488,                 1.6245,                0.64044,                0.66238,                0.69577,                0.60439,                 1.2492,                 1.7885,                 1.6012,             0.00020578,             0.00020578,             0.00020578
                     61,                 1.4133,                 1.1111,                 1.6139,                0.68046,                 0.6501,                0.68577,                0.59486,                  1.273,                 1.7878,                 1.6083,             0.00020532,             0.00020532,             0.00020532
                     62,                 1.4633,                 1.1316,                 1.6236,                0.59186,                0.69664,                0.67945,                0.58491,                 1.3079,                  1.926,                 1.6147,             0.00020486,             0.00020486,             0.00020486
                     63,                  1.461,                 1.1254,                 1.6407,                0.63909,                0.73959,                0.69651,                0.60688,                 1.2791,                 1.9072,                 1.6085,              0.0002044,              0.0002044,              0.0002044
                     64,                 1.4903,                 1.1785,                 1.6263,                0.62673,                0.69968,                0.69294,                0.60027,                 1.2668,                 1.7744,                 1.6028,             0.00020394,             0.00020394,             0.00020394
                     65,                 1.4854,                 1.1906,                 1.6458,                0.73106,                0.68196,                0.66923,                0.57973,                 1.2905,                 2.0169,                 1.6117,             0.00020347,             0.00020347,             0.00020347
                     66,                 1.4335,                 1.0973,                 1.6317,                0.71991,                0.70851,                0.73896,                0.63941,                 1.2539,                 1.6387,                 1.6063,             0.00020301,             0.00020301,             0.00020301
                     67,                 1.3907,                0.99629,                 1.6363,                0.66273,                0.69438,                0.69618,                0.61031,                 1.2323,                 1.6522,                 1.6017,             0.00020255,             0.00020255,             0.00020255
                     68,                 1.4464,                 1.0804,                 1.6291,                0.69691,                0.59629,                0.69304,                0.60851,                 1.2404,                 1.8299,                 1.5998,             0.00020209,             0.00020209,             0.00020209
                     69,                 1.4139,                 1.0214,                 1.6236,                0.73283,                0.77467,                0.76314,                0.66882,                 1.3049,                 1.8419,                 1.6109,             0.00020163,             0.00020163,             0.00020163
                     70,                 1.4409,                 1.0922,                 1.6342,                0.66624,                0.68582,                0.68745,                 0.6001,                 1.2502,                 1.9193,                 1.6043,             0.00020117,             0.00020117,             0.00020117
                     71,                 1.4297,                 1.0912,                 1.6393,                 0.6543,                0.72286,                0.71167,                0.61766,                 1.3228,                 2.0536,                 1.6085,             0.00020071,             0.00020071,             0.00020071
                     72,                 1.4037,                 1.0498,                  1.631,                0.70701,                0.72413,                 0.6769,                0.57915,                 1.3032,                 1.7844,                 1.6107,             0.00020024,             0.00020024,             0.00020024
                     73,                 1.4181,                 1.0322,                 1.6323,                0.63645,                 0.7251,                0.75328,                0.65264,                 1.3171,                 1.7055,                 1.6104,             0.00019978,             0.00019978,             0.00019978
                     74,                 1.3841,                 1.0157,                 1.6301,                 0.7714,                 0.5934,                0.66842,                 0.5739,                 1.3084,                 1.8314,                 1.6145,             0.00019932,             0.00019932,             0.00019932
                     75,                 1.3421,                0.99908,                 1.6438,                0.78977,                 0.5603,                0.67648,                0.58383,                 1.2943,                 1.8926,                 1.6136,             0.00019886,             0.00019886,             0.00019886
                     76,                 1.3818,                0.99892,                 1.6531,                0.77235,                0.58138,                0.65171,                 0.5643,                 1.2979,                 1.8862,                 1.6121,              0.0001984,              0.0001984,              0.0001984
                     77,                 1.3277,                0.96672,                 1.6343,                0.64553,                0.64359,                0.66035,                0.57733,                 1.2664,                  1.758,                 1.6047,             0.00019794,             0.00019794,             0.00019794
                     78,                 1.3755,                0.93566,                 1.6333,                0.76984,                0.53686,                0.65734,                0.56983,                   1.32,                 1.8047,                 1.6144,             0.00019748,             0.00019748,             0.00019748
                     79,                 1.3925,                 1.0006,                 1.6174,                 0.6947,                 0.6479,                0.68447,                0.59708,                 1.2762,                 1.7235,                 1.6113,             0.00019702,             0.00019702,             0.00019702
                     80,                 1.3017,                0.92819,                 1.6174,                0.73183,                0.63213,                 0.6731,                0.58589,                 1.2573,                 1.8628,                 1.6079,             0.00019655,             0.00019655,             0.00019655
                     81,                 1.3473,                0.97316,                 1.6244,                0.64406,                0.67417,                0.69516,                0.61185,                 1.2319,                 1.8659,                 1.6039,             0.00019609,             0.00019609,             0.00019609
                     82,                  1.417,                0.96945,                 1.6176,                0.71392,                0.66039,                0.70031,                0.60883,                 1.2427,                 1.8606,                 1.6098,             0.00019563,             0.00019563,             0.00019563
                     83,                 1.3281,                0.89597,                 1.6185,                0.71675,                0.63201,                0.67341,                0.59437,                 1.2037,                 1.9503,                 1.6078,             0.00019517,             0.00019517,             0.00019517
                     84,                 1.3568,                0.97135,                 1.6289,                0.72022,                0.56069,                0.66639,                0.57091,                 1.3074,                 1.9075,                  1.615,             0.00019471,             0.00019471,             0.00019471
