                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8308,                 5.8839,                  1.702,                0.67904,                0.35476,                0.39208,                0.32292,                 1.5314,                 3.1191,                 1.6383,             0.00021731,             0.00021731,             0.00021731
                     36,                 1.8262,                 5.8372,                 1.6715,                0.56894,                 0.3234,                0.40779,                0.34146,                 1.4662,                 2.9245,                 1.6393,             0.00021685,             0.00021685,             0.00021685
                     37,                 1.8761,                 5.5667,                 1.6932,                0.49227,                0.42018,                0.43201,                 0.3536,                 1.5401,                 2.9247,                 1.6441,             0.00021639,             0.00021639,             0.00021639
                     38,                 1.8675,                 5.5616,                  1.673,                0.59247,                0.36575,                 0.4346,                 0.3711,                  1.431,                 3.0632,                 1.6322,             0.00021593,             0.00021593,             0.00021593
                     39,                 1.8605,                 5.2814,                  1.681,                0.50081,                0.38298,                0.42245,                0.34767,                 1.4669,                 3.0289,                 1.6344,             0.00021547,             0.00021547,             0.00021547
                     40,                 1.8827,                 5.1893,                  1.704,                0.49018,                0.44851,                0.44808,                0.37975,                 1.4207,                 2.9512,                 1.6308,             0.00021501,             0.00021501,             0.00021501
                     41,                 1.7673,                 4.9136,                  1.689,                0.48465,                0.48246,                0.46618,                0.38564,                 1.6215,                 3.0278,                 1.6448,             0.00021455,             0.00021455,             0.00021455
                     42,                 1.7404,                  4.879,                 1.6868,                0.43291,                0.46952,                 0.4115,                0.34032,                 1.4486,                 2.7912,                 1.6384,             0.00021409,             0.00021409,             0.00021409
                     43,                 1.7369,                  4.909,                 1.6766,                 0.5886,                0.39443,                0.45714,                0.37716,                 1.4913,                 2.9607,                 1.6371,             0.00021362,             0.00021362,             0.00021362
                     44,                 1.7969,                 4.6825,                 1.6774,                 0.5244,                0.44064,                0.44002,                0.36834,                 1.4573,                 2.9977,                 1.6374,             0.00021316,             0.00021316,             0.00021316
                     45,                 1.8256,                 4.9384,                 1.7114,                0.40483,                0.42997,                0.45325,                0.37143,                 1.4322,                 2.7571,                 1.6388,              0.0002127,              0.0002127,              0.0002127
                     46,                 1.7994,                 4.6591,                 1.6882,                0.51448,                0.40697,                0.45672,                0.37775,                 1.4522,                 2.9428,                 1.6403,             0.00021224,             0.00021224,             0.00021224
                     47,                 1.8539,                 4.6359,                 1.6898,                0.50849,                0.44393,                0.42153,                0.35158,                 1.4662,                 2.9302,                 1.6399,             0.00021178,             0.00021178,             0.00021178
                     48,                 1.7979,                 4.3661,                  1.686,                0.59887,                0.40306,                0.45893,                0.38045,                 1.4556,                 2.8184,                 1.6347,             0.00021132,             0.00021132,             0.00021132
                     49,                 1.8025,                 4.4462,                 1.6746,                0.51917,                0.44565,                 0.4468,                0.37207,                 1.4546,                 2.7749,                 1.6357,             0.00021086,             0.00021086,             0.00021086
                     50,                 1.7428,                 4.1478,                 1.6562,                0.57821,                0.37091,                0.45261,                0.37148,                 1.4499,                 2.8573,                 1.6368,             0.00021039,             0.00021039,             0.00021039
                     51,                 1.7349,                 4.2938,                 1.6734,                0.54006,                0.42718,                0.47622,                0.40282,                 1.4087,                 2.6463,                 1.6293,             0.00020993,             0.00020993,             0.00020993
                     52,                 1.8001,                 4.1926,                 1.6574,                0.54741,                0.35159,                0.42852,                0.35634,                 1.4393,                 2.8333,                 1.6343,             0.00020947,             0.00020947,             0.00020947
                     53,                 1.7021,                 3.9649,                 1.6743,                0.38312,                0.48896,                0.43013,                0.35754,                 1.4411,                 2.8169,                 1.6389,             0.00020901,             0.00020901,             0.00020901
                     54,                 1.7153,                 3.8879,                 1.6658,                0.53061,                0.47674,                0.47709,                0.38985,                 1.5211,                 2.7851,                 1.6382,             0.00020855,             0.00020855,             0.00020855
                     55,                 1.7145,                 3.7518,                 1.6524,                0.62914,                0.41566,                0.50373,                0.42125,                  1.466,                 2.8848,                 1.6344,             0.00020809,             0.00020809,             0.00020809
                     56,                  1.734,                 3.7007,                 1.6598,                0.58282,                0.37717,                0.47897,                0.38948,                 1.5149,                 2.8289,                 1.6451,             0.00020763,             0.00020763,             0.00020763
                     57,                 1.7379,                 3.7381,                  1.688,                0.54041,                 0.4219,                 0.4904,                0.40705,                 1.4688,                 2.6137,                 1.6346,             0.00020716,             0.00020716,             0.00020716
                     58,                 1.7362,                  3.591,                 1.6628,                 0.6197,                0.40898,                0.45874,                 0.3825,                 1.4112,                 2.5976,                 1.6261,              0.0002067,              0.0002067,              0.0002067
                     59,                 1.7965,                 3.6069,                 1.6667,                 0.5652,                0.50671,                0.50139,                0.42099,                 1.4641,                 2.7465,                 1.6381,             0.00020624,             0.00020624,             0.00020624
                     60,                 1.7768,                 3.7158,                 1.6529,                0.58261,                0.43991,                0.47704,                0.39168,                 1.5402,                 2.7063,                 1.6426,             0.00020578,             0.00020578,             0.00020578
                     61,                 1.7309,                  3.465,                 1.6572,                0.62439,                0.46181,                0.51175,                0.42492,                 1.4824,                 2.7694,                 1.6357,             0.00020532,             0.00020532,             0.00020532
                     62,                 1.6852,                 3.3666,                 1.6512,                0.50649,                0.43839,                0.46373,                0.38357,                 1.4386,                 2.7019,                 1.6396,             0.00020486,             0.00020486,             0.00020486
                     63,                 1.6953,                 3.4634,                 1.6624,                0.63766,                0.40557,                0.51069,                0.43236,                 1.3639,                 2.6797,                 1.6257,              0.0002044,              0.0002044,              0.0002044
                     64,                 1.7151,                 3.3374,                  1.653,                0.69497,                0.33862,                0.47884,                0.40167,                 1.4257,                 2.6877,                 1.6339,             0.00020394,             0.00020394,             0.00020394
                     65,                 1.6832,                 3.4019,                 1.6647,                0.58081,                0.42413,                0.50493,                0.42965,                 1.3819,                 2.7267,                 1.6301,             0.00020347,             0.00020347,             0.00020347
                     66,                 1.7049,                  3.185,                 1.6657,                0.43452,                0.49309,                0.43626,                0.36153,                 1.5034,                 2.8526,                 1.6464,             0.00020301,             0.00020301,             0.00020301
