                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5694,                 1.5169,                 1.6439,                0.70376,                0.61513,                0.73265,                0.61236,                 1.4759,                 1.5952,                 1.6442,             0.00021778,             0.00021778,             0.00021778
                     35,                 1.5313,                 1.4895,                 1.6666,                0.61466,                0.64425,                0.68942,                 0.5877,                   1.37,                 1.7331,                  1.631,             0.00021731,             0.00021731,             0.00021731
                     36,                 1.5486,                 1.4944,                 1.6343,                0.75987,                0.64342,                0.73067,                0.62879,                 1.3441,                 1.5885,                 1.6176,             0.00021685,             0.00021685,             0.00021685
                     37,                 1.5491,                    1.5,                 1.6532,                0.69703,                 0.6131,                0.76029,                0.65962,                 1.2975,                 1.7742,                 1.6252,             0.00021639,             0.00021639,             0.00021639
                     38,                 1.5408,                 1.4873,                 1.6316,                0.70709,                0.66775,                  0.765,                0.65344,                  1.378,                 1.5837,                 1.6313,             0.00021593,             0.00021593,             0.00021593
                     39,                 1.5065,                 1.4224,                 1.6482,                0.73169,                0.66678,                0.74582,                0.63596,                  1.299,                 1.7542,                 1.6237,             0.00021547,             0.00021547,             0.00021547
                     40,                 1.4957,                 1.4514,                 1.6553,                0.70431,                0.76454,                0.77919,                0.67038,                 1.3618,                  1.447,                 1.6311,             0.00021501,             0.00021501,             0.00021501
                     41,                 1.4489,                 1.3103,                 1.6498,                0.81958,                0.60756,                 0.7355,                0.63789,                 1.3343,                 1.6269,                 1.6255,             0.00021455,             0.00021455,             0.00021455
                     42,                  1.442,                 1.2754,                  1.657,                0.70631,                0.65083,                0.74037,                0.61974,                 1.3591,                   1.54,                 1.6347,             0.00021409,             0.00021409,             0.00021409
                     43,                 1.4288,                 1.2491,                 1.6457,                0.79909,                0.60695,                0.72621,                0.61446,                 1.3056,                 1.5152,                 1.6347,             0.00021362,             0.00021362,             0.00021362
                     44,                 1.4449,                 1.2265,                 1.6317,                0.61666,                0.71867,                0.72238,                0.60954,                 1.3985,                   1.66,                 1.6373,             0.00021316,             0.00021316,             0.00021316
                     45,                 1.4586,                 1.3219,                 1.6653,                0.77919,                0.63537,                0.76888,                0.65374,                 1.3252,                 1.4953,                 1.6306,              0.0002127,              0.0002127,              0.0002127
                     46,                 1.4766,                 1.3669,                 1.6526,                0.75216,                0.60629,                0.72649,                0.60098,                 1.3838,                 1.6862,                  1.634,             0.00021224,             0.00021224,             0.00021224
                     47,                 1.5294,                 1.3341,                 1.6431,                0.79016,                0.58404,                0.71716,                0.60473,                 1.2958,                 1.7919,                 1.6231,             0.00021178,             0.00021178,             0.00021178
                     48,                  1.426,                 1.3118,                 1.6427,                0.64272,                0.77709,                0.78713,                0.68048,                 1.2842,                 1.5662,                 1.6289,             0.00021132,             0.00021132,             0.00021132
                     49,                 1.5082,                 1.2611,                 1.6251,                0.76308,                 0.6362,                0.77651,                0.65564,                  1.324,                 1.6827,                 1.6275,             0.00021086,             0.00021086,             0.00021086
                     50,                 1.3848,                 1.1616,                 1.6162,                0.82097,                0.62575,                0.79709,                0.68448,                 1.2648,                 1.3766,                  1.627,             0.00021039,             0.00021039,             0.00021039
                     51,                 1.4639,                 1.1912,                 1.6366,                0.66129,                0.67923,                0.75113,                0.63528,                 1.3854,                 1.7192,                 1.6382,             0.00020993,             0.00020993,             0.00020993
                     52,                 1.5096,                 1.2268,                 1.6274,                0.77774,                0.65855,                0.74867,                  0.634,                 1.3017,                 1.5548,                 1.6186,             0.00020947,             0.00020947,             0.00020947
                     53,                 1.4545,                 1.2599,                 1.6444,                0.76357,                0.64303,                 0.7838,                 0.6677,                 1.4062,                 1.5281,                 1.6362,             0.00020901,             0.00020901,             0.00020901
                     54,                  1.443,                 1.2297,                 1.6486,                0.70974,                0.69949,                0.78077,                 0.6593,                 1.3969,                 1.4744,                 1.6293,             0.00020855,             0.00020855,             0.00020855
                     55,                 1.3421,                 1.1159,                 1.6084,                0.68653,                0.68683,                0.73461,                0.62971,                 1.2925,                 1.6981,                 1.6257,             0.00020809,             0.00020809,             0.00020809
                     56,                 1.4201,                 1.0935,                 1.6171,                0.80826,                0.71019,                0.77373,                0.65603,                 1.4504,                 1.6373,                 1.6395,             0.00020763,             0.00020763,             0.00020763
                     57,                 1.4102,                 1.1167,                 1.6422,                0.69758,                0.75984,                0.76672,                0.65624,                 1.3707,                 1.7241,                 1.6313,             0.00020716,             0.00020716,             0.00020716
                     58,                 1.4255,                 1.1108,                 1.6221,                0.74063,                0.66634,                0.76329,                0.66666,                 1.2736,                  1.576,                 1.6144,              0.0002067,              0.0002067,              0.0002067
                     59,                 1.4646,                 1.1087,                 1.6215,                 0.7539,                0.64947,                 0.7759,                0.66038,                 1.2671,                 1.6904,                 1.6087,             0.00020624,             0.00020624,             0.00020624
